;hash-rate
13/03/2015 00:00;346865.6791
16/03/2015 00:00;337478.8311
19/03/2015 00:00;326027.4536
22/03/2015 00:00;333100.3632
25/03/2015 00:00;342699.2978
28/03/2015 00:00;361125.7289
31/03/2015 01:00;363944.166
03/04/2015 01:00;349346.5878
06/04/2015 01:00;346632.8094
09/04/2015 01:00;345894.1291
12/04/2015 01:00;344119.0779
15/04/2015 01:00;342714.5102
18/04/2015 01:00;339554.233
21/04/2015 01:00;346928.2132
24/04/2015 01:00;348565.8874
27/04/2015 01:00;350074.0497
30/04/2015 01:00;333033.2842
03/05/2015 01:00;338104.857
06/05/2015 01:00;331409.4454
09/05/2015 01:00;346053.3453
12/05/2015 01:00;341721.4033
15/05/2015 01:00;342398.0794
18/05/2015 01:00;365143.5211
21/05/2015 01:00;350303.9655
24/05/2015 01:00;347644.5787
27/05/2015 01:00;338632.8548
30/05/2015 01:00;337593.0405
02/06/2015 01:00;338632.8548
05/06/2015 01:00;341152.7355
08/06/2015 01:00;351645.1766
11/06/2015 01:00;362626.6972
14/06/2015 01:00;363978.5209
17/06/2015 01:00;352646.7784
20/06/2015 01:00;362174.7752
23/06/2015 01:00;347242.6248
26/06/2015 01:00;359593.7344
29/06/2015 01:00;361711.0675
02/07/2015 01:00;354835.5803
05/07/2015 01:00;361303.8832
08/07/2015 01:00;373630.5241
11/07/2015 01:00;373981.3509
14/07/2015 01:00;362611.5954
17/07/2015 01:00;363853.4614
20/07/2015 01:00;370334.1942
23/07/2015 01:00;367795.1743
26/07/2015 01:00;379982.6239
29/07/2015 01:00;386597.3152
01/08/2015 01:00;376078.946
04/08/2015 01:00;384246.5045
07/08/2015 01:00;377563.9566
10/08/2015 01:00;368785.4997
